Data,Hora,Timestamp,Tipo,Classe
0,0,0,Ultra,1
02-10-2024,17:23:20,1727904200,Ultra,1
02-10-2024,17:20:08,1727904008,Relé,Normal
02-10-2024,17:20:07,1727904007,Relé,Normal
02-10-2024,17:20:06,1727904006,Relé,Vibração
02-10-2024,17:20:05,1727904005,Relé,Vibração
02-10-2024,17:19:26,1727903966,Event,Case/IR
02-10-2024,17:19:24,1727903964,Event,IR
02-10-2024,17:19:16,1727903956,Event,Case/IR
02-10-2024,17:19:15,1727903955,Event,IR
02-10-2024,17:19:15,1727903955,Event,Case/IR
02-10-2024,17:19:15,1727903955,Ultra,4
02-10-2024,17:19:14,1727903954,Ultra,12
02-10-2024,17:18:45,1727903925,Ultra,25
02-10-2024,17:18:44,1727903924,Ultra,11
02-10-2024,17:18:42,1727903922,Ultra,17
02-10-2024,17:18:41,1727903921,Ultra,11
02-10-2024,17:18:40,1727903920,Ultra,17
02-10-2024,17:18:39,1727903919,Ultra,8
02-10-2024,17:18:33,1727903913,Event,Case
02-10-2024,17:18:30,1727903910,Ultra,27
02-10-2024,17:18:29,1727903909,Ultra,10
02-10-2024,17:18:27,1727903907,Event,Case
02-10-2024,17:18:25,1727903905,Event,Case/IR
02-10-2024,17:18:25,1727903905,Event,IR
02-10-2024,17:18:24,1727903904,Event,Case/IR
02-10-2024,17:18:24,1727903904,Event,IR
02-10-2024,17:18:22,1727903902,Event,Case/IR
02-10-2024,17:18:22,1727903902,Event,IR
02-10-2024,17:18:20,1727903900,Event,Case/IR
02-10-2024,17:18:16,1727903896,Event,IR
02-10-2024,17:18:16,1727903896,Event,IR
02-10-2024,17:18:16,1727903896,Event,IR
02-10-2024,17:18:12,1727903892,Ultra,7
02-10-2024,17:18:12,1727903892,Event,Case
02-10-2024,17:18:11,1727903891,Ultra,8
02-10-2024,17:18:07,1727903887,Event,Case
02-10-2024,17:18:06,1727903886,Event,Case
02-10-2024,17:18:00,1727903880,Ultra,4
02-10-2024,17:17:59,1727903879,Ultra,10
02-10-2024,17:17:56,1727903876,Ultra,21
02-10-2024,17:17:55,1727903875,Ultra,8
02-10-2024,17:35:42,1727904942,Relé,Normal
0,0,0,Relé,Normal
0,0,0,Relé,Normal
0,0,0,Relé,Normal
0,0,0,Relé,Térmico
0,0,0,Relé,Térmico
0,0,0,Relé,Térmico
0,0,0,Relé,Térmico
0,0,0,Relé,Térmico
0,0,0,Ultra,39
02-10-2024,17:16:48,1727903808,Relé,Térmico
02-10-2024,17:16:47,1727903807,Relé,Térmico
02-10-2024,17:16:46,1727903806,Relé,Térmico
02-10-2024,17:16:45,1727903805,Relé,Térmico
02-10-2024,17:16:44,1727903804,Relé,Térmico
02-10-2024,17:16:43,1727903803,Relé,Térmico
02-10-2024,17:16:42,1727903802,Relé,Térmico
02-10-2024,17:16:41,1727903801,Relé,Térmico
02-10-2024,17:16:40,1727903800,Relé,Térmico
02-10-2024,17:16:39,1727903799,Relé,Térmico
02-10-2024,17:16:38,1727903798,Relé,Térmico
02-10-2024,17:16:37,1727903797,Relé,Térmico
02-10-2024,17:16:36,1727903796,Relé,Térmico
02-10-2024,17:16:35,1727903795,Relé,Térmico
02-10-2024,17:16:34,1727903794,Relé,Térmico
02-10-2024,17:16:33,1727903793,Relé,Térmico
02-10-2024,17:16:32,1727903792,Relé,Térmico
02-10-2024,17:16:31,1727903791,Relé,Térmico
02-10-2024,17:16:30,1727903790,Relé,Térmico
02-10-2024,17:16:29,1727903789,Relé,Térmico
02-10-2024,17:16:28,1727903788,Relé,Térmico
02-10-2024,17:16:27,1727903787,Relé,Térmico
02-10-2024,17:16:26,1727903786,Relé,Térmico
02-10-2024,17:16:25,1727903785,Relé,Térmico
02-10-2024,17:16:24,1727903784,Relé,Térmico
02-10-2024,17:16:22,1727903782,Relé,Térmico
02-10-2024,17:16:21,1727903781,Relé,Térmico
02-10-2024,17:16:20,1727903780,Relé,Térmico
02-10-2024,17:16:19,1727903779,Relé,Térmico
02-10-2024,17:16:18,1727903778,Relé,Térmico
02-10-2024,17:16:17,1727903777,Relé,Térmico
02-10-2024,17:16:16,1727903776,Relé,Térmico
02-10-2024,17:16:15,1727903775,Relé,Térmico
02-10-2024,17:16:14,1727903774,Relé,Térmico
02-10-2024,17:16:13,1727903773,Relé,Térmico
02-10-2024,17:16:12,1727903772,Relé,Térmico
02-10-2024,17:16:11,1727903771,Relé,Térmico
02-10-2024,17:16:10,1727903770,Relé,Térmico
02-10-2024,17:16:09,1727903769,Relé,Térmico
02-10-2024,17:16:08,1727903768,Relé,Térmico
02-10-2024,17:16:07,1727903767,Event,Case
02-10-2024,17:16:07,1727903767,Relé,Térmico
02-10-2024,17:16:06,1727903766,Relé,Térmico
02-10-2024,17:16:05,1727903765,Relé,Térmico
02-10-2024,17:33:58,1727904838,Relé,Térmico
0,0,0,Relé,Térmico
0,0,0,Relé,Térmico
0,0,0,Relé,Térmico
0,0,0,Relé,Térmico
0,0,0,Relé,Térmico
0,0,0,Relé,Térmico
0,0,0,Relé,Térmico
0,0,0,Relé,Térmico
0,0,0,Relé,Térmico
0,0,0,Relé,Térmico
0,0,0,Relé,Térmico
0,0,0,Relé,Térmico
0,0,0,Relé,Térmico
0,0,0,Relé,Térmico
0,0,0,Relé,Térmico
0,0,0,Relé,Térmico
0,0,0,Relé,Térmico
0,0,0,Relé,Térmico
0,0,0,Relé,Térmico
0,0,0,Relé,Térmico
0,0,0,Relé,Térmico
0,0,0,Relé,Térmico
0,0,0,Relé,Térmico
0,0,0,Relé,Térmico
0,0,0,Relé,Térmico
0,0,0,Relé,Térmico
0,0,0,Relé,Térmico
0,0,0,Event,Case
0,0,0,Relé,Térmico
0,0,0,Relé,Térmico
0,0,0,Event,Case
0,0,0,Relé,Térmico
0,0,0,Relé,Térmico
0,0,0,Relé,Térmico
0,0,0,Relé,Térmico
0,0,0,Relé,Térmico
0,0,0,Relé,Térmico
0,0,0,Relé,Térmico
0,0,0,Relé,Térmico
0,0,0,Ultra,39
0,0,0,Relé,Térmico
0,0,0,Event,Case
0,0,0,Relé,Térmico
0,0,0,Event,Case
0,0,0,Relé,Térmico
0,0,0,Relé,Térmico
0,0,0,Relé,Térmico
0,0,0,Relé,Térmico
0,0,0,Relé,Térmico
0,0,0,Relé,Térmico
0,0,0,Relé,Térmico
0,0,0,Ultra,58
